"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
20751,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
30673,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
70676,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
80771,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
120799,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
130709,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
170685,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
180734,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
220767,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
230690,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
270692,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
280677,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
320816,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
330746,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
370700,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
380687,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
420821,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
430762,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
470708,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
480741,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
520827,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
530759,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
570715,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
580804,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
620799,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
630770,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
670724,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
680770,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
720841,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
730764,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
770729,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
780779,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
820817,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
830775,0000000F,false,Rx,0,0,00,00,00,00,00,00,00,00
870736,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
