"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
122530662,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2537,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
32541,00000022,false,Rx,0,5,F7,52,28,99,02,00,00,00
42555,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
72556,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
92544,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
102541,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
122545,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
132591,00000022,false,Rx,0,5,F7,52,28,99,02,00,00,00
142555,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
152533,00000018,false,Rx,0,8,00,00,E0,58,7D,08,20,FC
162550,00000033,false,Rx,0,4,00,C0,00,03,00,00,00,00
172556,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
192538,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
202548,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
232543,00000022,false,Rx,0,5,F8,52,28,99,02,00,00,00
242559,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
272606,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
292545,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
302549,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
322546,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
332547,00000022,false,Rx,0,5,F7,52,28,99,02,00,00,00
342560,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
352538,00000018,false,Rx,0,8,00,00,E0,59,7D,08,20,FC
362538,00000034,false,Rx,0,0,00,00,00,00,00,00,00,00
372558,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
392539,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
402540,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
432547,00000022,false,Rx,0,4,F7,62,28,98,00,00,00,00
442561,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
472562,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
492576,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
502544,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
522551,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
532551,00000022,false,Rx,0,5,F8,52,28,99,02,00,00,00
542561,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
552539,00000018,false,Rx,0,8,00,00,E0,59,7D,08,20,FC
562556,00000033,false,Rx,0,4,00,C0,00,03,00,00,00,00
572563,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
592544,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
602551,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
632552,00000022,false,Rx,0,5,F8,52,28,99,02,00,00,00
642562,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
672567,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
692551,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
702555,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
722552,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
732569,00000022,false,Rx,0,5,F8,52,28,99,02,00,00,00
742566,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
752544,00000018,false,Rx,0,8,00,00,E0,58,7D,08,20,FC
762544,00000034,false,Rx,0,0,00,00,00,00,00,00,00,00
772609,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
792587,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
802546,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
832553,00000022,false,Rx,0,5,F8,62,28,98,02,00,00,00
842567,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
872568,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
892582,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
902550,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
922554,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
932557,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
942567,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
952545,00000018,false,Rx,0,8,00,00,E0,59,7D,08,20,FC
962562,00000033,false,Rx,0,4,00,C0,00,03,00,00,00,00
972569,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
992547,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
