"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11309,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
21285,0000000F,false,Rx,0,8,00,CC,07,00,84,4B,4C,4C
61234,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
71221,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
111355,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
121253,0000000F,false,Rx,0,8,00,CC,07,00,84,4B,4C,4C
161244,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
171232,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
211365,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
221288,0000000F,false,Rx,0,8,00,CC,07,00,84,4B,4C,4C
261251,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
271297,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
311374,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
321281,0000000F,false,Rx,0,8,00,CC,07,00,84,4B,4C,4C
361261,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
371325,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
411343,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
421317,0000000F,false,Rx,0,8,00,CC,07,00,84,4B,4C,4C
461270,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
471255,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
511390,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
521342,0000000F,false,Rx,0,8,00,CC,07,00,84,4B,4C,4C
561278,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
571265,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
611360,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
621337,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
661286,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
671272,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
711490,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
721387,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
761295,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
771285,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
811378,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
821405,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
861304,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
871368,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
911456,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
921379,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
961313,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
971324,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1011395,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1021357,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1061321,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1071307,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1111442,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1121331,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1161331,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1171317,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1211451,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1221403,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1261339,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1271354,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1311458,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1321413,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1361347,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1371413,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1411430,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1421388,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1461358,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1471375,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1511474,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1521376,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1561365,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1571383,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1611447,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1621408,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1661373,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1671388,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1711579,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1721407,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1761379,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1771395,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1811465,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1821421,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1861391,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1871455,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
1911542,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1921466,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
1961400,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
1971418,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2011482,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2021436,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2061409,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2071424,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2111532,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2121412,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2161417,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2171435,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2211539,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2221451,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2261427,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2271442,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2311546,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2321509,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2361434,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2371502,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2411517,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2421467,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2461444,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2471458,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2511564,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2521444,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2561453,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2571470,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2611535,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2621482,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2661461,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2671477,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2711664,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2721499,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2761470,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2771491,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2811550,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2821565,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2861478,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2871548,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
2911626,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2921482,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
2961489,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
2971510,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3011568,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3021499,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
3061494,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3071510,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3111616,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3121507,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
3161504,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3171526,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3211623,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3221544,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
3261513,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3271532,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3311631,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3321523,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
3361522,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3371592,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3411601,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3421533,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
3461530,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3471546,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3511651,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3521539,0000000F,false,Rx,0,8,00,CC,07,00,85,4B,4C,4C
3561539,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
3571556,0000001C,false,Rx,0,4,FE,FC,01,F8,00,00,00,00
3611621,0000003D,false,Rx,0,0,00,00,00,00,00,00,00,00
