"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4613,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
14616,0000000A,false,Rx,0,6,94,00,00,2E,FE,FF,00,00
24614,0000000E,false,Rx,0,8,A9,FD,80,FF,D0,3F,00,FF
34614,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
44608,0000000B,false,Rx,0,8,54,69,55,00,CA,10,00,04
54612,00000013,false,Rx,0,8,00,CF,00,07,9F,6B,00,FF
64612,00000024,false,Rx,0,5,A5,F9,2F,22,0F,00,00,00
94613,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
104617,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
114647,00000010,false,Rx,0,8,C0,D9,01,13,00,00,80,32
134605,0000002B,false,Rx,0,8,00,00,00,00,FE,88,0B,FE
144616,0000000B,false,Rx,0,8,55,A5,56,00,CA,10,00,04
154616,00000013,false,Rx,0,8,00,CF,00,07,A1,6B,00,FF
164613,00000024,false,Rx,0,5,A5,F9,2F,22,0F,00,00,00
174620,00000036,false,Rx,0,8,C8,08,00,AA,FF,C0,00,E0
184608,0000002E,false,Rx,0,8,00,FC,FF,FF,FF,FF,FF,FF
194624,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
204618,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
214619,0000000A,false,Rx,0,6,94,00,00,2E,FE,FF,00,00
224609,00000014,false,Rx,0,0,00,00,00,00,00,00,00,00
234619,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
244610,0000000B,false,Rx,0,8,AA,AA,56,00,CB,10,00,04
254617,00000013,false,Rx,0,8,00,CF,00,07,A1,6B,00,FF
264617,00000024,false,Rx,0,5,A5,F9,2F,22,0F,00,00,00
284609,00000028,false,Rx,0,0,00,00,00,00,00,00,00,00
294622,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
304619,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
314613,00000010,false,Rx,0,8,C0,D9,01,13,00,00,C0,32
324617,00000007,false,Rx,0,0,00,00,00,00,00,00,00,00
334614,0000002B,false,Rx,0,8,00,00,00,00,FE,89,0B,FE
344618,0000000B,false,Rx,0,8,4B,16,56,00,CA,10,00,04
354618,00000013,false,Rx,0,8,00,CF,00,07,9F,6B,00,FF
364619,00000024,false,Rx,0,5,A6,F9,2F,22,0E,00,00,00
374616,00000037,false,Rx,0,8,FF,0F,80,64,8B,C9,DD,47
384619,0000002E,false,Rx,0,8,00,FC,FF,FF,FF,FF,FF,FF
394626,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
404620,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
414621,0000000A,false,Rx,0,6,96,00,00,2E,FE,FF,00,00
424621,0000000E,false,Rx,0,8,A9,FD,80,FF,D0,3F,00,FF
434622,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
444612,0000000B,false,Rx,0,8,54,69,56,00,CA,10,00,04
454619,00000013,false,Rx,0,8,00,CF,00,07,A1,6B,00,FF
464620,00000024,false,Rx,0,5,A6,F9,2F,22,0E,00,00,00
494621,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
504625,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
514615,00000010,false,Rx,0,8,C0,D6,01,13,00,00,C0,32
534613,0000002B,false,Rx,0,8,00,00,00,00,FE,88,0B,FE
544623,0000000B,false,Rx,0,8,55,A5,56,00,CA,10,00,04
554623,00000013,false,Rx,0,8,00,CF,00,07,A1,6B,00,FF
564621,00000024,false,Rx,0,5,A3,F9,2F,22,11,00,00,00
574628,00000036,false,Rx,0,8,C8,08,00,AA,FF,C0,00,E0
584618,0000002E,false,Rx,0,8,00,FC,FF,FF,FF,FF,FF,FF
594632,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
604626,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
614626,0000000A,false,Rx,0,6,96,00,00,2E,FE,FF,00,00
624617,00000014,false,Rx,0,0,00,00,00,00,00,00,00,00
634627,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
644618,0000000B,false,Rx,0,8,AA,AA,55,00,CA,10,00,04
654624,00000013,false,Rx,0,8,00,CF,00,07,9F,6B,00,FF
664625,00000024,false,Rx,0,5,A5,F9,2F,22,0F,00,00,00
684616,00000028,false,Rx,0,0,00,00,00,00,00,00,00,00
694629,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
704627,00000026,false,Rx,0,8,38,C5,00,00,00,00,00,00
