"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
82746106,00000024,false,Rx,0,5,31,FA,2F,22,82,00,00,00
12823657,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
12833657,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
12843658,00000026,false,Rx,0,8,39,C4,00,00,00,AA,90,01
12853658,0000000A,false,Rx,0,6,94,00,0A,2E,FE,FF,00,00
12863658,0000000E,false,Rx,0,8,FE,FD,00,FF,DA,3F,00,FF
12873659,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
12883653,0000000B,false,Rx,0,8,00,28,FE,FE,FE,31,00,E8
12893657,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
12903657,00000024,false,Rx,0,5,AA,F9,2F,22,0A,00,00,00
12933658,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
12943662,00000026,false,Rx,0,8,39,C4,00,00,00,AA,90,01
12953653,00000010,false,Rx,0,8,CE,01,00,01,00,00,00,32
12973650,0000002B,false,Rx,0,8,00,00,00,00,FE,7A,0B,FE
12983660,0000000B,false,Rx,0,8,01,A0,FE,FE,FE,31,00,E8
12993658,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
13003661,00000024,false,Rx,0,5,AA,F9,2F,22,0A,00,00,00
13013665,00000036,false,Rx,0,8,C9,09,00,AA,FF,C0,1B,E0
13023652,0000002E,false,Rx,0,8,00,FC,FF,FF,FF,FF,FF,FF
13033669,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
13043663,00000026,false,Rx,0,8,39,C4,00,00,00,AA,00,00
13053663,0000000A,false,Rx,0,6,94,00,0A,2E,FE,FF,00,00
13063653,00000014,false,Rx,0,0,00,00,00,00,00,00,00,00
13073663,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
13083654,0000000B,false,Rx,0,8,AA,AA,FE,FE,FE,31,00,E8
13093662,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
13103662,00000024,false,Rx,0,5,A7,F9,2F,22,0D,00,00,00
13123653,00000028,false,Rx,0,0,00,00,00,00,00,00,00,00
13133663,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
13143664,00000026,false,Rx,0,8,39,C4,00,00,00,AA,00,00
13153655,00000010,false,Rx,0,8,CE,01,00,01,00,00,00,32
13163662,00000007,false,Rx,0,0,00,00,00,00,00,00,00,00
13173659,0000002B,false,Rx,0,8,00,00,00,00,FE,79,0B,FE
13183662,0000000B,false,Rx,0,8,0B,02,FE,FE,FE,31,00,E8
13193663,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
13203663,00000024,false,Rx,0,5,A9,F9,2F,22,0B,00,00,00
13213660,00000037,false,Rx,0,7,FF,2F,00,64,8A,9D,48,00
13223664,0000002E,false,Rx,0,8,00,FC,FF,FF,FF,FF,FF,FF
13233671,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
13243665,00000026,false,Rx,0,8,39,C4,00,00,00,AA,00,00
13253665,0000000A,false,Rx,0,6,94,00,0A,2E,FE,FF,00,00
13263666,0000000E,false,Rx,0,8,FE,FD,00,FF,DA,3F,00,FF
13273666,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
13283660,0000000B,false,Rx,0,8,00,28,FE,FE,FE,31,00,E8
13293664,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
13303664,00000024,false,Rx,0,5,AA,F9,2F,22,0A,00,00,00
13333666,00000020,false,Rx,0,6,00,40,0B,00,E0,FF,00,00
13343669,00000026,false,Rx,0,8,39,C4,00,00,00,AA,00,00
13353660,00000010,false,Rx,0,8,CE,01,00,01,00,00,00,32
13373658,0000002B,false,Rx,0,8,00,00,00,00,FE,7A,0B,FE
13383668,0000000B,false,Rx,0,8,01,A0,FE,FE,FE,31,00,EC
13393665,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
13403665,00000024,false,Rx,0,5,AA,F9,2F,22,0A,00,00,00
13413672,00000036,false,Rx,0,8,C9,09,00,AA,FF,C0,1B,E0
13423663,0000002E,false,Rx,0,8,00,FC,FF,FF,FF,FF,FF,FF
13433676,00000020,false,Rx,0,6,00,44,0B,00,E0,FF,00,00
13443670,00000026,false,Rx,0,8,39,C4,00,00,00,AA,00,00
13453671,0000000A,false,Rx,0,6,94,00,0A,2E,FE,FF,00,00
13463661,00000014,false,Rx,0,0,00,00,00,00,00,00,00,00
13473672,0000002A,false,Rx,0,8,D2,F6,FF,FF,17,00,4C,FF
13483662,0000000B,false,Rx,0,8,AA,AA,FE,FE,FE,31,00,EC
13493669,00000013,false,Rx,0,8,FE,FE,1F,07,FE,FE,00,FF
